Name,Company Description,Locations,Ratings,Reviews
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
HCLTech,IT Services & Consulting,Chennai +209 other locations,3.5,38.5k
Tech Mahindra,IT Services & Consulting,Hyderabad / Secunderabad +296 other locations,3.5,37.2k
Genpact,IT Services & Consulting,Hyderabad / Secunderabad +145 other locations,3.8,34.6k
Teleperformance,BPO,Mumbai +226 other locations,3.9,31.5k
Concentrix Corporation,BPO,Bangalore / Bengaluru +150 other locations,3.7,27.9k
Axis Bank,Banking,Mumbai +1391 other locations,3.7,27.3k
Amazon,Internet,Bangalore / Bengaluru +468 other locations,4.0,26.6k
Jio,Telecom,Mumbai +1320 other locations,4.0,24.8k
iEnergizer,BPO,Noida +44 other locations,4.7,24.1k
Reliance Retail,Retail,Mumbai +1065 other locations,3.9,23.6k
IBM,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,4.0,23.5k
LTIMindtree,IT Services & Consulting,Bangalore / Bengaluru +129 other locations,3.7,22.2k
TCS,IT Services & Consulting,Bangalore / Bengaluru +412 other locations,3.6,95.6k
Accenture,IT Services & Consulting,Bangalore / Bengaluru +212 other locations,3.8,61.3k
Wipro,IT Services & Consulting,Bangalore / Bengaluru +343 other locations,3.7,56k
Cognizant,IT Services & Consulting,Chennai +199 other locations,3.7,53.2k
Capgemini,IT Services & Consulting,Bangalore / Bengaluru +169 other locations,3.7,44.9k
HDFC Bank,Banking,Mumbai +1667 other locations,3.9,42.2k
Infosys,IT Services & Consulting,Bangalore / Bengaluru +218 other locations,3.6,41.9k
ICICI Bank,Banking,Mumbai +1357 other locations,4.0,40.9k
